Candidate_ID,Name,Age,Age_Range,Gender,Employment_Status_at_time_of_offer,Location,Role,Source,Applied_Date,Current_Status,Offer_Date,Promised_Joining,Join_Date,Joining_Gap,Action_Needed
PWRQHYD,Sarah William Robinson,39,Middle Aged,Male,Employed,Hyderabad,Designer,Campus,16-05-2025,Offered,05-06-2025,Immediately,,13,Follow up
G1W5HYD,Ivan Sue Smith,30,Middle Aged,Female,Unemployed,Hyderabad,Analyst,Job Portal,26-04-2025,Accepted,08-05-2025,30 Days,,,Send reminder
OIPWSGP,James Rose Taylor,33,Middle Aged,Male,Employed,Singapore,Designer,Referral,01-05-2025,Offered,11-05-2025,15 Days,,14,Follow up
XIZWNYC,Sarah Martin,39,Middle Aged,Female,Employed,New York,Analyst,Job Portal,05-05-2025,Interviewed,,,,,Await Decision
H7XDSGP,Charlie Mae Jackson,41,Aging,Female,Employed,Singapore,Engineer,Referral,12-05-2025,Interviewed,,,,,Await Decision
PIDPHYD,Heidi Sue Jones,23,Young,Female,Employed,Hyderabad,Analyst,Internal,16-05-2025,Interviewed,,,,13,Await Decision
SPWGSGP,David Mae Martinez,22,Young,Male,Unemployed,Singapore,Manager,Job Portal,14-05-2025,Interviewed,,,,,Await Decision
36SJNYC,Eve Drew Martinez,44,Aging,Male,Employed,New York,Manager,Job Portal,13-05-2025,Interviewed,,,,,Await Decision
8F4HHYD,Sarah Rose Jones,31,Middle Aged,Female,Unemployed,Hyderabad,Analyst,Job Portal,21-05-2025,Joined,01-06-2025,15 Days,14-06-2025,9,No Action
Q6D6SGP,Ivan Lynn Martin,34,Middle Aged,Non-Binary,Employed,Singapore,Engineer,Campus,01-05-2025,Offered,17-05-2025,Immediately,,,Follow up
NEQBNYC,Bob Jane Brown,35,Middle Aged,Female,Employed,New York,Designer,Referral,10-05-2025,Joined,24-05-2025,Immediately,07-06-2025,8,No Action
PGIOLON,Bob Elizabeth Rodriguez,41,Aging,Male,Unemployed,London,Engineer,Campus,08-05-2025,Accepted,22-05-2025,30 Days,,,Send reminder
W6PPNYC,Diana Thomas Jones,41,Aging,Female,Employed,New York,Engineer,Campus,20-05-2025,Accepted,01-06-2025,15 Days,,,Send reminder
1DJDHYD,Eve Victoria White,33,Middle Aged,Female,Unemployed,Hyderabad,Analyst,Campus,17-05-2025,Joined,31-05-2025,Immediately,13-06-2025,,No Action
UQ8XLON,Heidi Beth Rodriguez,39,Middle Aged,Female,Employed,London,Manager,Job Portal,27-04-2025,Accepted,16-05-2025,15 Days,,14,Send reminder
76FZNYC,David Marie Davis,30,Middle Aged,Female,Unemployed,New York,Analyst,Internal,01-05-2025,Offered,19-05-2025,15 Days,,,Follow up
7L7FNYC,David Rose Martin,30,Middle Aged,Male,Unemployed,New York,Designer,Internal,01-05-2025,Joined,12-05-2025,15 Days,21-05-2025,,No Action
LVEGNYC,Emily Drew Martinez,36,Middle Aged,Male,Unemployed,New York,Designer,Campus,29-04-2025,Accepted,15-05-2025,30 Days,,,Send reminder
W9LYHYD,Michael Elizabeth Robinson,30,Middle Aged,Male,Employed,Hyderabad,Manager,Internal,29-04-2025,Joined,09-05-2025,15 Days,17-05-2025,,No Action
SUWLNYC,Judy Jane Garcia,23,Young,Male,Employed,New York,Designer,Referral,25-04-2025,Accepted,05-05-2025,15 Days,,,Send reminder
HSP1HYD,Olivia Drew White,42,Aging,Female,Employed,Hyderabad,Designer,Job Portal,25-04-2025,Offered,09-05-2025,30 Days,,13,Follow up
QQHZSGP,Sophia Dean Brown,38,Middle Aged,Male,Unemployed,Singapore,Analyst,Internal,01-05-2025,Offered,18-05-2025,15 Days,,,Follow up
QFA6NYC,Eve Louise Harris,36,Middle Aged,Non-Binary,Unemployed,New York,Engineer,Referral,11-05-2025,Joined,24-05-2025,30 Days,07-06-2025,,No Action
ZXE8LON,Frank Dean Anderson,32,Middle Aged,Female,Employed,London,Analyst,Campus,04-05-2025,Offered,18-05-2025,Immediately,,,Follow up
AR5ONYC,Diana Victoria Davis,31,Middle Aged,Male,Unemployed,New York,Analyst,Internal,20-05-2025,Offered,31-05-2025,Immediately,,,Follow up
WTKNHYD,Michael William Jackson,43,Aging,Male,Employed,Hyderabad,Designer,Campus,16-05-2025,Offered,30-05-2025,15 Days,,11,Follow up
N9JJSGP,Alice Ann Miller,43,Aging,Female,Unemployed,Singapore,Analyst,Internal,01-05-2025,Offered,20-05-2025,15 Days,,,Follow up
71IUSGP,Diana Sue Rodriguez,26,Young,Male,Employed,Singapore,Designer,Referral,01-05-2025,Interviewed,,,,,Await Decision
L8HTSGP,Bob Sue Jackson,42,Aging,Male,Employed,Singapore,Manager,Job Portal,27-04-2025,Joined,14-05-2025,15 Days,27-05-2025,,No Action
L2FLLON,David Mae Clark,22,Young,Female,Unemployed,London,Analyst,Internal,17-05-2025,Interviewed,,,,8,Await Decision
PECVHYD,Ava Marie Martin,28,Young,Male,Employed,Hyderabad,Analyst,Internal,18-05-2025,Accepted,05-06-2025,30 Days,,,Send reminder
JWZOLON,Sarah Grace Williams,45,Aging,Male,Unemployed,London,Manager,Internal,22-05-2025,Accepted,06-06-2025,30 Days,,,Send reminder
WFEPLON,Sophia Scott Harris,28,Young,Female,Employed,London,Analyst,Job Portal,08-05-2025,Offered,26-05-2025,30 Days,,,Follow up
UINONYC,Emily Scott Rodriguez,29,Young,Female,Employed,New York,Manager,Campus,12-05-2025,Joined,23-05-2025,30 Days,03-06-2025,,No Action
P61ILON,Grace Jane Martinez,42,Aging,Female,Unemployed,London,Engineer,Referral,03-05-2025,Accepted,14-05-2025,15 Days,,,Send reminder
GUG2LON,Bob Thomas Robinson,24,Young,Female,Employed,London,Manager,Campus,19-05-2025,Offered,05-06-2025,15 Days,,,Follow up
KNRMSGP,Judy Elizabeth Wilson,41,Aging,Male,Unemployed,Singapore,Engineer,Campus,19-05-2025,Accepted,30-05-2025,Immediately,,,Send reminder
SH9FLON,Grace Drew Davis,42,Aging,Male,Employed,London,Designer,Campus,17-05-2025,Joined,06-06-2025,30 Days,14-06-2025,,No Action
